"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.110000,0.002141,0.006907,-0.003609,-0.000746,-0.000243,-0.000309,0.002190,0.003163
0.110500,0.016285,0.017539,0.020465,-0.000734,0.000194,0.000042,0.002514,0.000893
0.111000,-0.009882,0.011879,-0.006250,-0.000664,0.000126,-0.000167,0.004136,0.005109
0.111500,-0.003797,0.015448,-0.009351,-0.000787,0.000395,0.000006,0.001866,0.000893
0.112000,-0.009779,0.009813,0.001570,-0.000387,0.000343,0.000145,0.002838,0.004460
0.112500,-0.011712,0.015458,0.001632,-0.001014,0.000193,0.000253,0.003163,0.000893
0.113000,0.010240,0.016467,-0.006472,-0.000555,0.000008,-0.000103,0.003163,0.002838
0.113500,-0.011804,-0.005890,0.010939,-0.001035,-0.000129,-0.000008,0.002514,0.001866
0.114000,0.000266,0.027170,-0.015920,-0.000774,0.000229,0.000065,0.002838,0.001541
0.114500,0.000208,0.015413,0.007447,-0.000599,0.000258,0.000008,0.002838,0.002514
0.115000,0.006275,0.028237,0.007522,-0.000535,-0.000113,0.000039,0.002190,0.000244
0.115500,0.020215,0.019886,-0.000438,-0.000635,0.000337,-0.000180,0.002838,0.003811
0.116000,-0.009931,0.016587,-0.003070,-0.000406,-0.000016,-0.000278,0.002514,0.000568
0.116500,0.006114,0.016470,-0.003702,-0.000601,0.000391,-0.000270,0.001217,0.003163
0.117000,-0.011880,0.006118,0.027932,-0.000358,0.000161,-0.000025,0.003487,0.000568
0.117500,-0.001735,0.014127,-0.016076,-0.001031,0.000083,0.000029,0.002838,0.003811
0.118000,0.010229,0.018847,0.013893,-0.000305,-0.000080,-0.000073,0.002838,0.004136
0.118500,-0.005908,0.002074,-0.000436,-0.001097,-0.000329,-0.000371,0.003163,-0.000080
0.119000,0.004333,0.031770,-0.002300,-0.000983,0.000233,0.000208,0.002514,0.003487
0.119500,0.008242,0.005871,-0.013249,-0.000752,0.000054,-0.000108,0.002190,-0.000404
0.120000,-0.005707,0.028521,-0.011832,-0.000574,0.000205,0.000205,0.003487,0.001866
0.120500,0.010320,0.030727,-0.015868,-0.000385,0.000001,0.000070,0.002514,0.000244
0.121000,-0.015783,0.013252,-0.005146,-0.000697,0.000242,0.000141,0.003487,0.002514
0.121500,0.014315,0.011758,-0.036751,-0.000773,-0.000008,-0.000079,0.001541,0.002514
0.122000,-0.013895,-0.004472,-0.002692,-0.000700,0.000349,-0.000116,0.002190,-0.000404
0.122500,-0.009875,0.025841,-0.013232,-0.001062,0.000236,-0.000165,0.003163,0.004136
0.123000,0.002149,0.014263,0.013902,-0.000231,0.000133,-0.000131,0.002838,0.000244
0.123500,0.002108,0.028093,0.009880,-0.000538,-0.000144,-0.000299,0.002838,0.002838
0.124000,0.020283,0.029347,-0.016886,-0.000727,0.000362,-0.000067,0.002190,-0.000729
0.124500,0.008096,0.003425,0.002727,-0.000532,0.000026,-0.000388,0.003163,0.003163
0.125000,0.002251,0.019079,-0.026039,-0.000491,0.000302,0.000009,0.002190,0.002514
0.125500,-0.007841,0.010940,0.014637,-0.000241,0.000357,0.000035,0.003163,0.001541
0.126000,-0.026010,0.014100,0.023914,-0.000971,0.000135,-0.000228,0.002838,0.001866
0.126500,0.014252,0.018638,-0.000031,-0.000640,-0.000291,-0.000160,0.002190,0.000244
0.127000,-0.005842,-0.007144,0.003554,-0.001094,0.000032,-0.000146,0.003163,0.002838
0.127500,0.000241,0.031660,0.007336,-0.000984,0.000090,0.000037,0.003163,-0.000404
0.128000,-0.003754,0.006089,-0.005618,-0.000600,0.000093,0.000058,0.002838,0.000893
0.128500,-0.007750,0.027222,0.004745,-0.000673,0.000106,0.000147,0.002514,0.000568
0.129000,0.010266,0.021332,-0.026407,-0.000484,0.000255,-0.000045,0.002190,0.000244
0.129500,-0.011815,0.017759,0.004387,-0.000816,0.000135,0.000030,0.002838,0.002838
0.130000,0.004239,0.015335,-0.019770,-0.000747,0.000101,-0.000079,0.002190,0.001217
0.130500,-0.017782,-0.001977,0.008582,-0.000492,0.000035,0.000164,0.003811,0.001866
0.131000,-0.021958,0.011701,-0.009965,-0.001273,0.000175,-0.000259,0.002838,-0.000404
0.131500,0.014231,0.016438,0.020434,-0.000272,-0.000130,-0.000100,0.002838,0.004460
0.132000,0.014261,0.011590,-0.006787,-0.000725,-0.000259,-0.000163,0.002838,-0.001377
0.132500,0.018331,0.025816,0.003790,-0.000787,0.000291,0.000100,0.002838,0.002838
0.133000,0.010189,0.011740,-0.006782,-0.000394,-0.000156,-0.000246,0.002838,0.000568
0.133500,-0.003779,0.022583,0.007898,-0.000464,0.000276,0.000094,0.002514,0.001217
0.134000,0.000171,0.017864,-0.016295,-0.000356,0.000229,-0.000132,0.003163,0.003487
0.134500,-0.017770,0.014393,-0.005081,-0.000924,0.000338,0.000196,0.002838,-0.001377
0.135000,0.012200,0.022345,-0.030524,-0.000624,0.000218,-0.000241,0.003163,0.002838
0.135500,-0.009824,0.002412,0.000687,-0.000993,0.000188,-0.000031,0.004460,-0.001053
0.136000,-0.003686,0.015302,-0.008949,-0.001162,0.000067,0.000169,0.003487,0.002838
0.136500,-0.003715,0.003706,-0.002033,-0.000612,-0.000128,0.000111,0.003811,-0.001377
0.137000,0.000307,0.029398,-0.005641,-0.000762,-0.000269,0.000090,0.002838,0.000568
0.137500,0.018280,0.028150,-0.003287,-0.000684,0.000235,-0.000040,0.002838,0.000244
0.138000,-0.015840,0.008349,0.014566,-0.000723,-0.000088,-0.000003,0.003163,-0.000729
0.138500,0.002212,0.011932,-0.002754,-0.000666,0.000498,0.000009,0.001866,0.003163
0.139000,-0.025916,0.005111,0.001361,-0.000594,0.000439,-0.000003,0.002838,-0.001053
0.139500,-0.021898,0.018955,-0.016055,-0.001091,0.000362,-0.000086,0.002514,0.001217
0.140000,0.008256,0.017587,0.030911,-0.000542,-0.000094,0.000038,0.003163,-0.001702
0.140500,0.008127,0.005538,0.005887,-0.001037,-0.000108,-0.000363,0.003163,0.001217
0.141000,0.018270,0.030441,0.006698,-0.000858,0.000400,-0.000010,0.003163,0.002514
0.141500,0.010208,0.009451,0.003519,-0.000543,0.000259,-0.000103,0.002514,0.000893
