"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.084000,0.001178,0.005887,-0.010215,0.000355,-0.000237,0.000101,0.003811,-0.000080
0.084500,-0.020928,-0.016348,-0.006572,-0.000079,0.000095,0.000116,0.004136,-0.003972
0.085000,-0.022936,-0.003334,-0.030078,0.000033,0.000074,0.000062,0.002838,0.004460
0.085500,-0.012817,0.009654,-0.016140,0.000010,0.000451,0.000354,0.002514,-0.000080
0.086000,0.013193,0.008086,-0.021094,-0.000016,0.000195,0.000051,0.003811,-0.001377
0.086500,0.005161,0.001184,-0.020703,0.000233,0.000075,0.000046,0.003163,0.002514
0.087000,-0.012885,-0.023465,-0.030475,-0.000125,-0.000055,0.000029,0.003163,0.000893
0.087500,-0.012968,-0.002418,-0.031074,-0.000158,0.000020,-0.000133,0.001217,0.002514
0.088000,0.003071,-0.011836,-0.031545,-0.000026,0.000262,-0.000155,0.001217,-0.000404
0.088500,0.021074,-0.001312,-0.008508,0.000493,0.000258,-0.000226,0.002190,-0.000080
0.089000,0.009087,-0.012976,-0.024757,0.000481,-0.000136,-0.000210,0.002190,0.003163
0.089500,0.007110,-0.007379,-0.018234,-0.000099,-0.000315,-0.000185,0.002514,0.000893
0.090000,-0.008871,-0.000091,-0.040859,-0.000242,-0.000168,-0.000021,0.002838,0.001866
0.090500,0.011106,-0.004960,-0.031851,0.000051,-0.000201,-0.000238,0.002514,0.000244
0.091000,0.005094,0.001231,-0.027760,0.000512,0.000018,-0.000121,0.002838,0.000568
0.091500,-0.004905,-0.002298,-0.030805,0.000170,0.000053,-0.000044,0.003487,0.000568
0.092000,0.005237,0.010508,-0.010128,0.000284,-0.000427,0.000158,0.003163,-0.001702
0.092500,-0.002881,0.019759,-0.010811,-0.000229,-0.000048,0.000018,0.003163,0.000568
0.093000,0.007198,0.002279,-0.007108,0.000240,-0.000159,0.000102,0.004136,-0.003323
0.093500,-0.020925,-0.011586,-0.016587,0.000085,0.000010,0.000089,0.003487,-0.000729
0.094000,-0.018995,-0.015202,0.003080,0.000020,0.000248,0.000007,0.004460,0.000244
0.094500,-0.012800,0.007299,-0.015981,0.000231,0.000036,0.000323,0.002838,0.000568
0.095000,0.013210,0.010504,-0.034459,-0.000052,0.000333,0.000080,0.003163,0.001866
0.095500,0.009184,0.001161,-0.010536,0.000467,-0.000199,0.000047,0.003163,-0.000729
0.096000,-0.016887,-0.039936,-0.020256,-0.000302,-0.000025,0.000079,0.002838,0.000568
0.096500,-0.016857,0.004833,-0.012962,0.000077,-0.000076,0.000207,0.001541,-0.001377
0.097000,-0.004833,-0.004401,-0.023209,0.000492,0.000187,0.000184,0.001217,-0.002999
0.097500,0.025286,0.010439,-0.034532,0.000177,0.000014,0.000082,0.001866,0.001866
0.098000,0.011178,-0.002385,-0.027653,0.000397,-0.000179,-0.000039,0.002514,-0.001053
0.098500,-0.004878,-0.014276,-0.041219,-0.000273,-0.000268,-0.000109,0.002838,-0.000080
0.099000,-0.010905,-0.001259,-0.027458,-0.000338,0.000119,0.000009,0.002514,0.001541
0.099500,0.003179,-0.002323,-0.037456,0.000119,0.000035,0.000043,0.001866,-0.001702
