"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.745000,0.004657,0.022119,-0.049457,-0.000115,-0.000295,0.000440,0.001866,0.003487
0.750000,-0.013476,-0.007526,-0.077177,-0.000883,-0.000637,0.000107,0.003487,0.002514
0.755000,0.008633,0.026517,-0.046889,-0.000613,-0.000286,0.000328,0.002838,0.000244
0.760000,-0.005408,-0.002496,-0.052776,-0.000101,-0.000420,0.000344,0.003163,0.004784
0.765000,-0.003401,-0.001472,-0.080203,-0.000478,-0.000480,0.000228,0.002514,0.002514
0.770000,0.002725,0.016345,-0.069226,-0.000333,-0.000112,0.000577,0.003487,0.000893
0.775000,-0.005340,-0.007237,-0.055860,-0.000313,-0.000526,0.000452,0.000893,0.003163
0.780000,-0.001309,0.008934,-0.083353,-0.000707,-0.000935,0.000311,0.003163,0.000568
0.785000,-0.003254,0.008254,-0.095794,-0.000376,-0.000127,0.000598,0.003163,-0.002026
0.790000,0.002681,0.009186,-0.042484,-0.000134,-0.000472,0.000490,0.003163,0.002190
0.795000,-0.001434,0.018312,-0.056982,-0.000514,-0.000639,0.000178,0.002514,-0.001377
0.800000,-0.003295,0.024389,-0.069401,-0.000759,-0.000242,0.000545,0.003163,-0.004620
0.805000,0.006687,0.009190,-0.059528,-0.000046,-0.000549,0.000406,0.002514,-0.000404
0.810000,-0.003445,0.010141,-0.050124,-0.000461,-0.000570,0.000205,0.003487,-0.000729
0.815000,0.008650,0.029097,-0.056635,-0.000503,0.000208,0.000445,0.003811,-0.004620
0.820000,-0.003502,0.010466,-0.060163,-0.000129,0.000172,0.000212,0.003811,-0.001053
0.825000,0.002614,0.011072,-0.057180,-0.000790,-0.000904,0.000174,0.002514,-0.001053
0.830000,0.004751,0.033781,-0.042299,-0.000520,-0.000241,0.000666,0.003487,-0.002026
0.835000,-0.001450,0.004521,-0.060060,-0.000255,-0.000002,0.000265,0.002838,0.002514
0.840000,0.014530,0.017997,-0.044727,-0.000479,-0.000869,-0.000070,0.002514,0.000568
0.845000,0.012672,0.024316,-0.043241,-0.000528,0.000132,0.000473,0.003487,0.000244
0.850000,-0.003342,0.015126,-0.069397,-0.000245,-0.000409,0.000432,0.002514,0.003163
0.855000,0.008534,0.028724,-0.057792,-0.000514,-0.000617,0.000016,0.002838,0.002190
0.860000,0.004663,0.035930,-0.039729,-0.000653,-0.000378,0.000441,0.004460,0.001217
0.865000,-0.005307,-0.004871,-0.072604,-0.000444,-0.000497,0.000479,0.003163,0.004136
0.870000,0.002612,0.025576,-0.070060,-0.000196,-0.000447,0.000269,0.002514,0.001541
0.875000,0.016526,0.026405,-0.037835,-0.000478,-0.000085,0.000081,0.002838,-0.000729
0.880000,-0.003366,0.010407,-0.049268,-0.000267,-0.000243,0.000461,0.003487,0.001541
0.885000,0.004494,0.024088,-0.044243,-0.000487,-0.000400,0.000045,0.001541,-0.001053
0.890000,0.012543,0.024086,-0.010405,-0.000389,-0.000175,0.000220,0.002514,-0.001702
0.895000,-0.009558,-0.000162,-0.056970,-0.000231,0.000074,0.000122,0.003163,0.000244
0.900000,0.006516,0.030058,-0.030472,-0.000311,-0.000225,0.000163,0.002514,-0.002999
0.905000,0.016592,0.019627,-0.043797,-0.000135,0.000025,0.000250,0.002514,-0.002350
0.910000,-0.001529,0.009197,-0.063890,-0.000046,-0.000115,0.000070,0.003487,-0.000080
0.915000,-0.001417,0.034819,-0.032989,-0.000235,-0.000706,0.000298,0.003163,-0.003323
0.920000,0.016703,0.005432,-0.046741,-0.000491,-0.000242,0.000409,0.001866,-0.002026
0.925000,-0.001505,-0.004902,-0.060447,-0.000259,0.000086,0.000151,0.002514,0.000568
0.930000,-0.013377,0.006903,-0.048848,-0.000188,-0.000681,0.000454,0.003163,-0.001702
0.935000,0.016523,0.019595,-0.051024,-0.000092,0.000053,0.000081,0.003163,-0.001702
0.940000,-0.001465,-0.016708,-0.050092,-0.000133,-0.000409,0.000172,0.004136,0.002514
0.945000,-0.015367,-0.001222,-0.065560,-0.000278,-0.000471,0.000479,0.002190,-0.000080
0.950000,0.014701,0.001919,-0.073766,-0.000560,-0.000364,0.000320,0.002514,-0.000080
0.955000,-0.001522,0.004409,-0.077574,-0.000262,-0.000220,0.000009,0.003811,0.004784
0.960000,-0.009382,0.006882,-0.062631,-0.000193,-0.000648,0.000370,0.002838,0.001541
0.965000,0.018837,0.025571,-0.072816,-0.000340,-0.000400,0.000610,0.002838,0.001217
0.970000,-0.013488,-0.009509,-0.076623,-0.000187,-0.000395,0.000169,0.003487,0.002190
0.975000,-0.013432,0.027947,-0.049334,-0.000407,-0.000439,0.000376,0.002190,-0.002026
0.980000,0.008605,0.036229,-0.056713,-0.000185,0.000203,0.000364,0.002838,-0.001377
0.985000,-0.015388,-0.010657,-0.086110,-0.000426,-0.000464,0.000362,0.003487,0.001541
0.990000,0.006573,0.013816,-0.029825,-0.000018,-0.000222,0.000300,0.001866,-0.003647
0.995000,0.008523,0.026786,-0.053849,-0.000002,0.000067,0.000165,0.002190,-0.002350
1.000000,-0.005478,0.009249,-0.059991,-0.000182,-0.000064,0.000237,0.003487,0.000893
1.005000,-0.001413,0.011673,-0.056230,0.000019,-0.000146,0.000352,0.002514,-0.004296
1.010000,0.008640,0.026772,-0.066741,-0.000190,-0.000207,0.000329,0.002190,-0.002026
1.015000,-0.015465,-0.006133,-0.063114,-0.000541,-0.000438,0.000252,0.003487,0.000568
1.020000,-0.001518,0.013934,-0.043469,-0.000110,0.000213,0.000215,0.001866,-0.002350
